stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,33.16,0,0,0,0,0,0,0,0,4.28,0,0,0,0,4.28,1.07,0,0,0,0,0
21Day,1.34,17.4,0,0,0,0,0,0,0,0,1.34,0,0,0,0,1.34,2.68,1.34,0,0,0,0
3Month,1.6,0.96,0,0,0.32,0,0.32,0.32,0.32,0.64,0.64,0,0,0.64,0,0,0,0,0,0,0,0
22Month,0,1.64,0.55,1.64,1.09,0.55,43.73,0.55,0,15.85,0,2.19,1.64,0.55,1.09,0,0,0,1.09,0.55,0.55,0.55
