stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,12.26,4.09,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,81.3,0,1.07,0,0,0,0,0,0,0,4.28,12.84,0,12.84,0,1.07,5.35,0,0,0,2.14,0,0,0,2.14,0
21Day,248.97,5.35,4.02,1.34,0,1.34,29.45,5.35,1.34,1.34,4.02,9.37,13.39,0,1.34,9.37,8.03,0,1.34,0,6.69,6.69,0,5.35,0,1.34
3Month,0,0.32,0,0,0,0.64,10.56,0,0,0,0.64,0,0.32,0,0,0.32,0,0.32,0,0,0,0.32,0.96,0,0,0
22Month,0,0.55,0,0,0.55,1.09,36.63,0,0,0,0,0,0,0.55,0,0,0,0,0.55,0.55,0,0,1.09,0,0,0
