stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,4.09,0,0,12.26,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,1.34,0,0,0,0,0,1.34,0,1.34,1.34,1.34,0,2.68,2.68,0,0,0
3Month,0,0.32,0.64,0.64,1.28,0.64,0.32,0.32,0,0,0,7.68,0,0,0.32,12.8,0.32
