stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,4.09,44.95,0,0,0,0,8.17,57.21,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,1.07,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.49,0,0,1.07,0,12.84,9.63,0,0,47.07,0,0,3.21,0,1.07,0,0,0
21Day,2.68,9.37,5.35,1.34,4.02,0,1.34,0,0,0,0,0,1.34,1.34,1.34,4.02,0,49.53,0,0,14.72,0,6.69,10.71,0,0,33.46,4.02,0,0,1.34,1.34,0,0,1.34
3Month,0,8.96,6.4,0,0,0,0,0.32,1.28,0,6.72,0.96,0,2.24,0.96,2.56,1.6,20.16,7.36,0,3.52,0.64,0.32,0.32,2.88,1.28,4.48,1.6,2.88,0.32,0,0,7.68,0.96,0.96
22Month,0,20.77,6.56,0,0,0.55,0.55,0,2.19,9.84,30.61,2.19,1.09,3.83,1.09,1.64,1.64,22.41,2.19,0.55,7.65,0,0,0,0.55,0,6.01,0.55,0.55,1.09,0,0,2.19,0,0.55
