stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,0,0,0,0,0,0,98.07,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,1.07,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,0,5.35,0,0,0,8.03,0,0,0,0,1.34,1.34,0,0,1.34,0,0,0,0,2.68
3Month,1.92,6.72,0.32,0.32,0.32,23.68,2.56,0.32,0,0.32,1.92,12.16,0.32,0.32,0.32,0.64,0.32,0.32,0.64,0.32
22Month,1.64,2.19,0,0,0,10.93,1.09,1.64,0.55,0,0.55,16.4,0,0,0,0,0,0,0,0
