stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Retinal_pigment_epithelial_cell,T_cell
72hpf,0,0,0,0,1.07,1.07,0
21Day,0,0,0,2.68,0,0,1.34
3Month,0.32,0.32,0,0,0,0,0
22Month,0,0.55,1.09,0.55,0,0,0
