stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,4.09,0,8.17,0,0
72hpf,0,0,1.07,0,0,3.21,0,1.07,1.07,1.07,1.07,0
21Day,1.34,1.34,0,0,1.34,2.68,1.34,4.02,0,4.02,0,1.34
22Month,0,0.55,0,0.55,1.64,0,0.55,0,0,0,0,0
