stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09
72hpf,3.21,1.07,17.12,0,0,0,0,0,14.98,0,1.07,0,198.98,6.42,0,3.21,1.07,0,0
21Day,0,5.35,4.02,0,0,1.34,4.02,0,8.03,1.34,8.03,6.69,487.23,8.03,1.34,2.68,5.35,0,0
3Month,0,0.32,0,0.32,0,0,0,0,0.32,0,0.64,0,0,0,0,0,0,0.96,0
22Month,0,0,0,0,1.64,0.55,0,1.09,0,0,0.55,0,0,0,0,0,0,0,0
