stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,4.09,0,0,0,12.26,0,0,0,0,0,0,0,8.17,0,0,0,0,0,110.33,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,2.14,1.07,0,0,0,0,0,0,0,0,0,1.07,5.35,0,8.56,0,2.14,0,0,3.21,4.28,1.07,1.07,22.47,0,0,1.07,0,0,0
21Day,5.35,1.34,22.76,0,2.68,0,0,0,0,6.69,1.34,2.68,2.68,0,22.76,0,33.46,0,0,4.02,1.34,8.03,2.68,0,0,20.08,1.34,0,0,0,0,1.34
3Month,0,0.32,13.44,0,0,1.28,0.32,0,0,14.4,0.96,0,1.28,1.92,6.4,0.32,1.28,0.32,0.32,0.32,0.64,0,0,1.6,0,0.32,0.32,44.15,0.32,0.32,9.92,0.96
22Month,0,0.55,1.09,0,0,0,0,20.77,0,124.64,0,0,1.09,1.09,0,0,1.64,0,1.64,0,0,0.55,0,1.09,0,0,0.55,13.12,0,0,0,0
