stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,0,0,0,24.52,85.81,0,0,0,0,833.63,0,36.78,0,0,0,0,0,0,0
72hpf,5.35,0,0,32.09,6.42,0,0,0,0,0,38.51,4.28,0,14.98,0,1.07,0,16.05,81.3,0,242.84,0,0,4.28,0,0,0,0
21Day,4.02,0,0,12.05,1.34,0,0,0,0,1.34,1.34,4.02,0,48.19,0,9.37,0,1.34,14.72,0,9.37,4.02,0,0,1.34,0,0,0
3Month,0,1.6,0,4.48,0,0.32,0.96,2.88,1.6,1.28,0.64,0.32,0.32,2.56,0,8.32,0.32,0,0,0.32,0.32,0,0.64,0.32,0,0.32,0.32,2.24
22Month,0,3.28,0.55,1.09,0,0.55,2.19,29.52,0.55,1.64,0,0,1.09,0.55,1.09,5.47,0,0.55,0,2.19,0,0,0,0,0,0,0,0
