stage,Epithelial_cell,Erythrocyte,Keratinocyte,Mesenchymal_cell,Primordial_germ_cell,Spermatocyte
24hpf,4.09,0,0,4.09,0,0
72hpf,0,0,1.07,0,0,0
21Day,0,1.34,0,0,0,0
3Month,0,0,0,0,2.56,0.64
