stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,12.26,0,0,0,0,0,0,4.09,0,0,0,0,8.17,12.26,28.6,0,0,0,0,0,155.28,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,4.28,1.07,0,0,0,0,0,0,0,0,0,2.14,8.56,4.28,10.7,0,1.07,1.07,0,3.21,21.4,0,0,4.28,0,1.07,3.21,0,0,0,0,0,0
21Day,8.03,0,0,9.37,4.02,0,8.03,0,0,0,0,1.34,1.34,0,1.34,2.68,4.02,20.08,0,0,0,0,6.69,17.4,0,0,1.34,0,0,1.34,1.34,1.34,0,0,0,4.02
3Month,0,0.64,0.64,4.16,0,0,0.32,1.6,0.32,0,0,8.96,0.32,1.92,0.64,1.92,2.56,2.56,0.32,0,0,0.96,0.32,0,0.32,1.28,0,0.64,6.08,0,0,0,0.32,0.32,4.16,2.24
22Month,0,0,0,1.09,0,0.55,0,0,2.19,4.37,0,21.32,1.09,1.09,0,0.55,2.19,3.83,0,0,0.55,0,0,0,0.55,0.55,0,0,2.19,0,0,0,0,0,0,0.55
