stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,16.35,0,28.6,0,0,0,0,0,0,0,0,0,0,4.09,20.43,0,0,4.09,179.8,0,0,0,0,0,0,0
72hpf,8.56,0,7.49,0,1.07,0,0,0,0,0,0,1.07,301.68,1.07,6.42,0,0,24.61,6.42,0,8.56,0,0,8.56,2.14,0
21Day,2.68,0,25.43,1.34,0,0,0,6.69,0,2.68,0,1.34,57.56,1.34,6.69,0,0,30.79,4.02,0,6.69,5.35,0,12.05,1.34,0
3Month,0,0.32,1.6,0.64,0,0,0.32,0,0.32,0,0.32,0,4.16,0,0.96,0,0.32,0,0,0.32,0,0,1.92,0,0.32,0.64
22Month,0,0.55,2.19,0,0,0.55,2.19,5.47,0,0,1.09,0,6.56,0,1.64,0.55,0,0,0,2.73,0,0,2.73,4.92,0.55,0
