stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.81,0,0,0,0,4.09,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,23.54,2.14,0,13.91,1.07,27.81,0,0,0,0,0,0,0,0,0,6.42,36.37,4.28,1542.64,0,7.49,0,84.51,31.02,0,1.07,1446.36,0,0,12.84,1.07,0,13.91,0,0
21Day,10.71,1.34,1.34,22.76,0,42.83,0,1.34,0,1.34,2.68,5.35,1.34,6.69,1.34,2.68,20.08,4.02,1377.35,0,24.09,0,22.76,10.71,1.34,1.34,843.28,26.77,0,1.34,5.35,9.37,8.03,0,1.34
3Month,0,1.28,0.32,2.88,0,0,1.28,0,18.24,0,2.56,5.44,0.64,0,0.64,0,2.24,0.96,126.38,19.52,2.56,0.64,0.64,0,0,0.32,0.64,0.64,1.92,0,0,0,0,0.96,0.96
22Month,0,0,0,0.55,0,0,0,0,0,0,0,3.83,0,0,0,0,0.55,0.55,7.11,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
