stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,1.07,0,4.28,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0,1.34,1.34,1.34,0,2.68,1.34,29.45,1.34,0,0,0
3Month,0.32,0,0.96,5.12,0.64,0.96,1.92,0,10.56,1.92,0.32,2.88,0.96,0.64,1.6,0.96,0.64,0,0.64,0.64,0,0,0.32,0,0,0.64,159.33,0,1.6,3.84,2.24
22Month,0,1.64,0,2.73,0,0,3.83,2.19,39.36,0.55,1.09,1.64,0,0,1.64,1.64,0,0.55,1.09,0,0,0,0,8.2,0,0.55,177.12,0,0.55,0,2.19
