stage,Endothelial_cell,Epithelial_cell,Ionocyte,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,4.09,4.09,0,0,0,0,4.09,0
72hpf,0,0,0,0,0,1.07,1.07,1.07
21Day,1.34,0,1.34,1.34,1.34,0,0,0
