stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,8.17,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,8.56,0,0,2.14,2.14,0,0,0,0,0,0,0,0,0,13.91,1.07,5.35,0,1.07,345.54,22.47,1.07,3.21,0,8.56,0,0,6.42,0,1.07,1.07,0,0,0
21Day,5.35,0,0,5.35,1.34,1.34,1.34,0,0,5.35,0,1.34,0,2.68,9.37,0,5.35,0,0,136.53,2.68,2.68,2.68,0,4.02,8.03,2.68,2.68,5.35,2.68,0,0,0,0
3Month,0.64,0.32,0.32,16.64,0,0,19.2,0.32,0,7.68,0.64,0,0.96,0,1.6,0.96,1.28,0.96,4.48,2.24,0.32,3.52,9.6,0,0.32,0.32,12.16,0.96,0,0,0,0.32,0.32,0.96
22Month,0,1.09,0,17.49,0,0,9.84,1.09,2.73,14.76,0,0,1.64,0,1.09,2.73,4.37,0,2.19,2.73,1.09,5.47,10.93,1.09,0,0,9.29,6.56,2.19,0,0,0.55,0,0
