stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,4.09,36.78,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,20.33,6.42,1.07,0,0,0,0,0,0,0,3.21,0,1.07,0,0,2.14,14.98,13.91,0,3.21,0,1.07,10.7,0,0,1.07,0,0,0
21Day,2.68,0,174.01,0,4.02,0,0,1.34,0,2.68,1.34,1.34,6.69,0,2.68,0,1.34,0,9.37,1.34,0,1.34,9.37,0,2.68,1.34,1.34,0,0,0,1.34
3Month,0,0.64,117.1,0.96,0,1.28,0.64,6.4,0.64,0.32,3.84,12.48,2.56,1.28,1.92,0.64,0.96,1.92,5.12,0.32,3.84,0,1.92,19.52,1.92,0.32,0,0,16,41.91,1.6
22Month,0,0,25.15,0,0,0,0.55,6.56,0.55,0,1.09,0.55,0,0,2.19,0,0,0,0,0,0,0,0.55,6.01,0,0,0,0,0,0,0
