stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,4.09,0,0,0,0,0,0,0,0,0,4.09,4.09,0,24.52,0,0,0,0,4.09,114.42,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,6.42,33.16,2.14,0,0,0,0,0,0,0,0,0,5.35,0,20.33,0,0,0,1.07,126.24,23.54,0,0,0,4.28,0,0,7.49,0,0,0,0,0
21Day,4.02,0,0,8.03,50.86,0,0,0,0,0,0,0,0,0,0,6.69,0,5.35,0,1.34,0,1.34,73.62,5.35,6.69,0,0,2.68,4.02,2.68,1.34,2.68,0,0,0,0
3Month,0.32,1.6,1.6,397.38,1.92,0,0.32,0.32,1.6,6.08,0,32.31,8.64,7.04,21.12,5.44,5.12,8.64,0.96,0.32,1.92,11.84,51.51,0,6.72,0.64,0,0,1.6,58.87,0.32,0.32,0.32,1.28,877.3,4.48
22Month,4.92,2.73,0.55,150.33,1.09,0,0.55,0,1.64,4.92,12.03,177.66,1.09,15.31,1.09,1.64,2.73,7.65,0.55,13.12,1.64,3.28,13.12,1.09,4.37,0,0.55,0,1.09,98.4,0,0,2.19,0,8.2,0
