stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,0,0,0,4.09,4.09,0,0,0
72hpf,0,0,0,0,0,1.07,0,2.14,0,0,0
21Day,0,1.34,0,0,0,0,0,1.34,0,0,1.34
3Month,0,0.32,0,0,0.32,0,0,0,0.64,0.32,0.32
22Month,0,0,2.19,0.55,0,0,0,0,0,0,0
