stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,32.69,0,0,0,0,0
72hpf,3.21,0,1.07,0,0,0,0,3.21,1.07,5.35,0,2.14,0,0,0
21Day,0,0,0,0,0,0,0,2.68,0,2.68,0,1.34,0,0,0
3Month,0,0.64,2.56,0,0,0.32,0.32,5.12,0,0,0.32,0.32,3.52,0.32,2.56
22Month,0,0,0.55,1.64,0.55,0,0,2.19,0,0,0,0,0,0,0
