stage,Epithelial_cell,Goblet_cell,Intestinal_bulb_cell,Macrophage,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
3Month,0.32,0.64,0.32,0.32,0.32,0.64,7.04,25.6,0.32
22Month,0,0,0,0,0,0,0.55,0,0
