stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,1.07,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0,2.68,0,0,0,2.68,0,0,0,0,0
3Month,0,0,0.32,2.24,0,0.32,5.12,2.24,2.88,0,0,0.32,1.28,0,3.84,0.32,0,0.32,10.24,0,0.64,0.32,0,0,0.64,0.64,0,0.32,3.52
22Month,0.55,1.09,0.55,6.01,0.55,1.09,2.73,0.55,125.18,1.09,1.64,1.09,1.09,0.55,1.09,0,5.47,1.09,2.19,0,1.64,0,1.09,0,0.55,1.09,1.09,0,1.09
