stage,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neurosecretory_cell,Pancreatic_cell,Spermatocyte
21Day,2.68,0,0,0,0,0,0,0,1.34,2.68,0
3Month,0.32,0.32,0,2.24,0,0,0,0.32,0,0,5.44
22Month,0,0,0.55,65.6,0.55,1.09,2.73,0,1.09,1.09,0
