stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,8.17,0,16.35,0,0,4.09,0,0,0,0,4.09,0,4.09,16.35,0,0,0,16.35,196.15,0,4.09,0,0,0,4.09,0
72hpf,1.07,1.07,5.35,1.07,0,0,0,0,0,0,4.28,2.14,0,3.21,0,0,0,22.47,14.98,0,5.35,0,0,2.14,0,0
21Day,2.68,0,6.69,0,1.34,0,0,0,4.02,0,0,4.02,0,5.35,0,0,0,14.72,12.05,0,2.68,1.34,0,6.69,0,1.34
3Month,0,0,0.32,0,0,0,0,0,0.32,0,0.32,0,0,0,0.32,0,0,0,0,0,0,0,0.32,0,0,0.32
22Month,0,0,0.55,0,0,0,15.85,1.09,0.55,2.19,0,0,0.55,3.28,0,1.64,0.55,0,0,2.19,0,0,2.73,0.55,0,0
