stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0
3Month,0.96,2.88,1.92,35.51,0.32,0.32,6.4,8.96,73.59,12.8,18.88,3.84,9.92,9.92,8.64,0.96,0,5.44,3.52,2.88,0.64,2.56,1.92,0.64,12.16,0.32,23.04,1.28,4.16,3251.32,8.96
22Month,0,0,0,0.55,0,0,0,0,2.73,0,0.55,0,0,0.55,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,4.37,0
