stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0,4.09,0,4.09,118.51,0,0,0,0,0
72hpf,0,0,0,0,0,0,4.28,0,1.07,2.14,2.14,2.14,3.21,0,0,0,0
21Day,0,0,0,0,0,0,0,1.34,8.03,0,1.34,1.34,5.35,1.34,1.34,0,0
3Month,0.32,0.32,0.32,0.32,0,0.32,0.32,0,0,0,0,0,0,0,11.84,0.64,0.32
22Month,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,4.37,0,0
