stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,32.69,0,0,0,0,0,49.04,0,0,0,0,0,196.15,4.09,0,0,0,0,0,8.17,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,23.54,5.35,0,0,0,0,0,0,0,0,0,407.59,287.77,0,5.35,0,1.07,0,39.58,27.81,21.4,0,0,4.28,0,0,6.42,0,17.12,0,0,0
21Day,2.68,4.02,6.69,12.05,8.03,0,0,0,0,0,1.34,1.34,4.02,0,1.34,8.03,4.02,5.35,0,0,0,99.05,8.03,1.34,0,0,0,5.35,1.34,0,1.34,121.81,0,0,1.34
3Month,1.28,1.92,24.96,24,0,0.32,9.28,7.04,0,0,22.72,12.48,0.32,39.67,1.92,13.12,3.84,9.6,5.44,0.32,1.28,2642.14,0.64,0.64,1.28,0.96,0,6.08,31.04,0.32,0,17.28,4.16,4.48,8.96
22Month,0.55,1.09,14.76,2.73,0,0.55,0.55,2.73,0.55,0,31.16,0,1.09,52.48,0.55,1.09,2.73,3.83,0,0.55,0,137.21,0,0,0.55,1.09,0,0,33.89,0,0.55,2.19,0,0,0.55
