stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0
72hpf,0,5.35,0,0,0,0,0,0,0,0,1.07,0,0,0,0
21Day,1.34,9.37,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,1.28,0,0.32,0,0.32,5.12,0.64,0,0,0,0,0,0,0.32,0.64
22Month,0.55,0,0,1.09,0.55,5.47,0.55,1.64,1.64,0.55,0,0,1.09,0,0
