stage,Epithelial_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,4.09,0,0
21Day,0,0,0,0,0,1.34,0,0,0,0
3Month,0.32,1.6,0.64,0.64,0.32,0,0.32,0,1.6,1.28
