stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,1.34,1.34,0,0
3Month,0.32,1.6,0.32,4.48,0.96,0.32,0.32,0.32,0,0,3.52,0.64
22Month,0,0,0,8.2,3.28,0,0,0,0,0,1.09,0
