stage,Cardiomyocyte,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,0,4.09,16.35,0,0,0
72hpf,0,0,1.07,1.07,1.07,1.07,64.19,7.49,1.07,1.07,0
21Day,1.34,1.34,0,0,0,0,26.77,1.34,1.34,0,4.02
