stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
21Day,0,70.94,8.03,0,0,0,0,1.34,0,0,18.74,1.34,0,4.02,0,2.68,0,0,1.34,1.34,0,1.34,0,2.68
3Month,0,14.72,0,0.32,0.32,0.32,0.32,0,0.32,0.32,0.64,0,0.64,0.32,0.32,0,0.32,0.32,0,0.32,0.32,0,0.64,0.64
22Month,0.55,9.29,0,0,0.55,1.64,0.55,0,0.55,0,0.55,15.31,1.09,0.55,0,0,1.64,0,0,0,3.83,0,0,0
