stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,24.52,4.09,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,7.49,2.14,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,0,9.63,26.74,0,0,1.07,0,0,0,0,0,0,0
21Day,5.35,0,8.03,0,0,0,0,0,0,1.34,1.34,0,0,1.34,0,0,0,0,13.39,93.7,0,0,0,0,0,0,0,0,0,0
3Month,0,0,29.76,0,0,0.32,0,0.32,5.12,0.96,0.32,0.64,8,1.28,0,1.6,0.32,4.8,0.64,7.36,0.32,0,0,0.32,18.24,1.6,0.32,0.32,130.22,1.28
22Month,0,0.55,19.13,0,0,0,0.55,0.55,10.93,0.55,0.55,2.19,0,1.64,0.55,0.55,0,0.55,0,0.55,0.55,0.55,0,0,12.57,0.55,1.09,0,1.64,0.55
