stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0
72hpf,3.21,0,2.14,1.07,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0,0,0,0,2.14,0,3.21,0,0
21Day,1.34,0,1.34,0,1.34,0,0,0,0,1.34,0,0,4.02,0,1.34,0,0,0,1.34,1.34,1.34,0,5.35,0,2.68,2.68,0
3Month,0,0.32,1.92,0,0,0.32,0.32,4.48,0.32,0,0.64,0.32,0,0.64,0.64,0.64,0,0,0,0,0.32,0.32,0,0.32,0,0,0.96
22Month,0,0.55,3.28,0,0,0,1.64,23.51,0,0,0.55,0,0.55,0,0.55,0.55,1.09,0.55,0.55,0,1.09,0,0,0,0,0,2.19
