stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,12.26,0,0,20.43,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,4.09,8.17,65.38,0,0,0,0,24.52,294.22,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,8.56,2.14,0,6.42,1.07,1.07,0,0,0,0,0,0,0,0,1.07,0,4.28,12.84,1.07,24.61,0,1.07,1.07,0,222.52,49.21,2.14,1.07,0,25.67,0,0,4.28,2.14,0,1.07,0,0
21Day,16.06,0,4.02,16.06,2.68,6.69,0,13.39,0,0,0,0,1.34,2.68,4.02,1.34,9.37,2.68,2.68,38.82,0,0,8.03,0,76.3,14.72,0,1.34,0,8.03,2.68,0,0,1.34,1.34,5.35,0,1.34
3Month,0.32,0.32,1.28,6.4,0,0,1.28,0,1.28,0.32,0.32,0,233.24,1.28,0,6.4,0.64,1.92,0.96,0.64,0.96,0,0.32,0.96,0.32,0,0.96,0.64,0,0,2.56,2.24,0.32,0,0,0,1.28,2.88
22Month,1.64,5.47,2.19,6.56,0,0,3.83,0,3.28,3.83,2.19,0,2077.83,2.73,3.28,16.95,0.55,3.83,5.47,7.65,0.55,24.6,3.28,0,0.55,0,1.09,1.09,1.09,0,2.73,1.09,0.55,0.55,0,0,1.09,1.64
