stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,2.14,0,0,0,0,0,0,0,1.07,2.14,0,0,0,2.14,0,1.07,3.21,2.14,0,1.07,0,0,0,0,0,0
21Day,4.02,0,0,8.03,4.02,0,0,0,16.06,0,0,0,0,1.34,1.34,6.69,0,0,2.68,0,2.68,0,0,5.35,0,0,0,0,0,0
3Month,0,0.64,0.64,5.44,0,0.32,0.96,0.96,206.37,0.64,0,3.2,2.56,0.96,1.28,9.92,2.24,0,1.92,2.24,0.32,0.64,0,0,1.28,4.16,0.32,0,0.64,0.64
22Month,0.55,0.55,0.55,8.2,0,0,0,0.55,219.21,1.64,0.55,3.28,0.55,0.55,1.09,15.31,2.19,2.73,4.37,0,1.09,0,0.55,0.55,0,2.73,1.64,0.55,0,1.64
