stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,12.26,110.33,0,0,0,0,0,0,0
72hpf,3.21,0,1.07,2.14,0,0,0,0,1.07,0,3.21,1.07,3.21,0,0,53.49,19.26,3.21,1.07,0,2.14,0,0,0
21Day,0,6.69,0,0,0,1.34,0,0,2.68,0,2.68,0,8.03,0,1.34,12.05,4.02,0,0,0,1.34,1.34,1.34,1.34
3Month,0,0,0,0,0.32,0,0,0.32,0.32,0.32,0,0,0.32,0,0,0.32,0,0,0,0.32,0,0,0,0
22Month,0,0.55,0,0,0,0.55,0.55,1.64,0,0,0,0,0,0.55,0,1.09,0,0,0,0,0.55,0,0,0.55
