stage,Endothelial_cell,Enterocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Muscle_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
21Day,0,0,0,0,0,0,0,1.34,0,0,0,0
3Month,0,2.88,0.32,0.32,0,10.24,0.32,0,0,0,0.32,0.32
22Month,0.55,2.19,2.19,0,4.37,68.33,0,0.55,0.55,0.55,0,0
