stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,57.21,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,8.17,32.69,0,0,0,0,0,93.99,0,0,0,0,0,0,0,0,0,0,0
72hpf,33.16,2.14,0,4.28,4.28,0,0,0,0,0,0,0,0,6.42,5.35,1.07,256.75,0,0,73.82,0,19.26,10.7,0,56.7,0,0,1.07,0,1.07,0,0,0,0
21Day,29.45,0,0,32.12,4.02,1.34,0,0,0,0,0,4.02,0,1.34,1.34,2.68,289.12,0,0,208.81,0,14.72,5.35,1.34,17.4,8.03,0,1.34,0,5.35,1.34,0,0,0
3Month,0,0.96,0,44.15,0,0,0.32,0.96,1.92,7.36,0.32,0.64,3.84,0.32,85.11,0.96,19.52,26.88,0,2.24,0.32,0,0,0,0,1.28,3.52,0.32,0,0,0,0.32,1.28,1.6
22Month,0,0,0.55,12.03,0,0,0,0,1.64,27.33,2.19,1.09,1.64,0,24.6,1.64,12.03,5.47,0.55,1.09,0,0.55,0,0,0,0.55,0,1.09,0.55,0,0,0,0,0.55
