stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,8.17,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,3.21,0,0,0,0,0,0,0,0,0,0,0,14.98,0,2.14,0,0,7.49,7.49,0,0,4.28,0,1.07,0,1.07,0,0,0
21Day,0,0,0,22.76,0,2.68,0,0,0,0,0,0,1.34,1.34,0,18.74,0,2.68,5.35,0,1.34,1.34,0,0,4.02,1.34,6.69,1.34,0,0,0,1.34
3Month,0.32,0.64,0.32,4.16,0,0,0.96,0.32,0.96,1.92,5.76,1.92,0.32,3.2,0.64,1.6,1.6,1.92,0.64,1.28,0.64,0,0,0.64,0,3.2,280.6,0,0,1.28,52.47,1.28
22Month,0,1.64,0,5.47,0.55,0,0.55,0,1.64,0,8.75,0,0,0.55,0,0,0.55,0,10.93,0,0,0,2.73,0,0.55,1.09,112.61,0,0,0,0,0.55
