stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,2.14,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,6.69,0,0,0,0,0,0,0,5.35,1.34,1.34,0,0,0,4.02,0,0,0,0,1.34,0,0,0,0,1.34,0,0,0
3Month,0.32,0,8.32,0.32,0.64,0,5.44,2.56,4.16,1.28,3.2,1.92,1.28,0.32,0.32,0.96,0.32,0.32,0.64,0.32,0,0,0.96,144.94,0.32,0,0.32,0.96,188.13,1.92
22Month,0,0.55,1.64,0.55,2.73,0.55,8.2,0.55,0.55,0,0.55,0,1.64,0,0,0,0,0,0,0,0.55,0,0,18.04,0,1.09,0,0,0.55,0.55
