stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,0,1.07,0,0,13.91,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,4.02,1.34,0,1.34,1.34,0,0,4.02,0,1.34,22.76,2.68,0,0,2.68,0,0,4.02,0,16.06,0,0,0,0,1.34,0,0,0,0,0
3Month,0,0,0.96,20.16,0.64,0.32,16,0,0,60.79,1.28,0,101.42,0.64,1.92,2.56,1.92,0.32,0,5.12,0.32,0.32,0,2.88,0.32,0,2.88,2.24,0,0.96,1.92,1.6
22Month,1.09,1.09,3.83,27.33,0,0,14.76,4.37,1.64,186.96,2.19,0.55,84.18,0.55,1.09,3.83,4.37,1.09,8.75,3.28,0,0.55,0,0.55,0.55,1.09,1.64,0.55,0.55,0,0,0
