stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,8.17,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,3.21,1.07,0,0,1.07,0,0,0,0,0,1.07,6.42,0,7.49,0,0,0,0,28.88,4.28,0,0,5.35,0,0,0,1.07,0,0,0,0
21Day,4.02,1.34,0,13.39,4.02,0,0,0,0,1.34,0,9.37,0,5.35,9.37,2.68,29.45,0,0,2.68,1.34,28.11,0,0,1.34,2.68,4.02,0,1.34,8.03,0,0,0,1.34
3Month,0,1.92,0.32,14.08,0,0.64,1.6,7.36,0,31.99,5.76,0.64,5.76,2.24,6.4,1.6,4.48,0.64,0.32,0,1.28,0.96,0,0,1.92,0,0.64,0.96,0.64,0,0.32,2.56,0.96,7.36
22Month,0,3.28,0.55,5.47,0,0,1.64,16.95,1.64,51.39,2.73,3.28,1.64,0,2.19,8.2,4.37,0.55,2.19,0,0,0.55,0,1.64,0.55,0.55,0,0.55,0,0,0,0,0,2.19
