stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,1.07,0,0,2.14,0,0,0,0,1.07,3.21,0,0,1.07,0,0,1.07,0,0,0
21Day,1.34,0,0,9.37,0,0,0,0,0,0,1.34,0,0,0,4.02,0,0,1.34,0,0,1.34,0,0,0,0,0,0,0,0,0
3Month,0,0.64,1.28,18.56,0.96,1.6,1.28,132.46,1.92,0.32,8.32,1.6,2.88,2.56,4.8,1.92,0,0.64,0.64,0,0.64,0.32,0.32,0.64,3.84,3.2,0.32,2.88,1.6,1.6
22Month,0,0.55,0,1.09,0.55,0,1.64,120.26,2.19,0.55,2.19,0,2.19,2.19,4.37,0.55,1.64,0,0,0,0,0,0,0,0.55,0,0,0,0,0.55
