stage,Cardiomyocyte,Hepatocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Retinal_cone_cell
24hpf,0,0,4.09,0,0,4.09,0
72hpf,3.21,0,0,0,3.21,0,0
21Day,6.69,0,0,0,1.34,0,1.34
3Month,0,0.32,0,0.64,0,0,0
