stage,Erythrocyte,Erythrocyte__Liver_,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
72hpf,0,0,1.07,0,1.07,1.07,1.07,0,1.07,0,0
21Day,1.34,0,0,2.68,0,1.34,0,5.35,2.68,1.34,0
3Month,0,0.32,0,0.64,0,0,0,0.32,0,0,0.96
