stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Smooth_muscle_cell
72hpf,1.07,0,1.07,0,1.07,0,0,0,0,0,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0
3Month,0,0,0,0.32,0,0,0.32,0.64,0,0.32,0,0.32,0.32,0.32
22Month,0,0.55,0,0,0,1.09,0,0.55,0,0,0,0.55,0,0
