stage,Cardiomyocyte,Endothelial_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,4.09,0,4.09,16.35,0,12.26,0,0
72hpf,0,1.07,0,0,4.28,2.14,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0
3Month,0,0,0.32,0,0,0,0,0.64,0.64
