stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.12,0,4.09,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,1.07,0,1.07,0,1.07,0,0,0,0,0,0,0,0,0,2.14,0,1.07,0,48.14,6.42,0,2.14,0,0,1.07,1.07,0,0,0,0
21Day,0,1.34,6.69,1.34,0,0,0,0,0,0,0,2.68,0,1.34,9.37,0,9.37,0,0,2.68,12.05,5.35,0,8.03,1.34,0,0,2.68,2.68,0,0,0
3Month,0,0.96,6.4,0,0,0,0,0.64,0,2.56,0.32,0.64,0.64,0.64,5.44,0,5.44,0.64,0,0.64,0,0,0.32,0.32,0.32,6.08,0.32,0,0,0.96,4.16,0.96
22Month,0,0.55,2.73,0,0,0.55,0,0.55,1.64,23.51,0,0,0.55,0.55,1.64,0.55,3.28,0,0,0,0,0,0.55,0,0,0.55,0.55,0,0,0,0,0
