stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,8.17,8.17,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,2.14,0,0,0,0,0,0,0,1.07,0,0,0,0,0,29.95,1.07,5.35,0,0,0,0,1.07,0,0,0,0
21Day,0,0,5.35,1.34,0,0,0,1.34,0,0,0,2.68,0,1.34,0,0,53.54,4.02,0,0,0,0,0,0,0,0,0,0
3Month,2.24,1.28,104.62,0,0.64,3.84,4.8,17.28,7.36,6.08,3.52,3.52,1.92,4.16,1.28,0,631.9,0.64,0.64,0.64,0.32,0.64,4.8,24,0.32,1.28,16.64,5.12
22Month,0.55,0,28.43,0,0,3.28,2.73,10.39,1.09,1.64,0,0.55,1.09,1.64,0,0.55,51.93,0,0,1.64,0,0,0,2.73,0.55,0,0,0.55
