stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0
72hpf,2.14,0,1.07,0,0,0,0,0,0,0,0,1.07,0,3.21,0,3.21,2.14,0,0,0,0
21Day,0,1.34,1.34,0,0,0,1.34,0,2.68,0,1.34,0,1.34,4.02,0,0,0,1.34,2.68,1.34,0
3Month,0,0,0.32,0.32,0.32,0,0.96,0,0.32,0.96,0,0.32,0.32,0,0.64,0,0,0,0,0,0.32
22Month,0,0,0,0.55,0.55,1.09,4.37,0.55,0,1.64,0,0,0.55,0,0,0,0,0,0,0,0
