stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,8.17,4.09,0,32.69,0,0,0,0,0,0,0,4.09,0,32.69,12.26,53.12,0,0,4.09,183.89,0,0,0,0,0,4.09,0,0
72hpf,0,0,0,2.14,0,0,0,0,0,0,0,0,2.14,5.35,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,1.34,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.32,0,0.64,0,0,0.32,0,0.64,0.32,0,0,0,0.32,0.32,0,0.32,0,0,0,0,0,0,3.52,0,0,0.64,0.64
22Month,0.55,4.92,2.19,11.48,0,1.09,6.56,9.84,39.91,1.64,0.55,3.28,1.64,1.09,4.92,5.47,0,2.73,0.55,0.55,1.09,1.64,457.55,1.09,2.19,0,0,0.55
