stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,61.3,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,25.67,0,0,0,0,0,0,0,0,52.42,0,0,0,3.21,5.35,0,0,0,0,0
21Day,1.34,0,0,73.62,0,0,0,0,0,0,0,4.02,37.48,1.34,4.02,1.34,1.34,1.34,1.34,1.34,0,0,2.68
3Month,0,0,0.32,21.12,0.32,0.64,0,2.56,0.96,0,2.56,0.32,7.68,2.88,0.64,0.32,0.32,0,0,0.32,0.96,0.64,2.88
22Month,0,0.55,0,3.83,0,2.19,0.55,3.28,0,0.55,2.19,0,1.64,0.55,1.09,1.09,0,0,0,0,0,0,0.55
