stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0
3Month,0.32,18.24,0.96,29.76,2499.12,1.28,17.28,8.64,0,23.36,8.96,2.24,15.36,12.16,18.24,52.15,10.56,0.32,0,5.44,8,1.92,0.64,3.52,1.28,0,0,2.88,0.32,21.12,0.64,0.64,4.16,25.6,14.4
22Month,0.55,12.03,0,8.2,1052.86,1.64,1.09,15.31,1.64,39.91,15.31,2.19,2.19,0.55,2.73,29.52,18.59,1.64,3.28,7.11,1.09,1.64,0.55,3.28,9.29,0.55,8.2,25.69,0,3.28,0.55,0,1.64,0,9.84
