stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,40.86,0,0,0,4.09,32.69,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,2.14,0,0,0,0,0,0,0,2.14,0,37.44,0,1.07,0,5.35,17.12,0,0,0,18.19,0,0,1.07,0,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.46,0,0,0,5.35,4.02,0,0,0,18.74,0,0,0,1.34,0,0,0,0
3Month,0.32,0,0,3.84,0,0.64,0.64,0,7.04,0,0.64,1.6,0.32,1.6,7.68,0.32,0.32,0.32,0,0,0,0,0,0.32,0.32,1.28,0.64,0,0.32,0.64,0.64,0.64
22Month,0,1.09,1.09,1.09,0,0,1.09,0.55,61.23,2.73,0.55,5.47,0,3.83,9.84,0,1.09,0,0,0,0.55,0.55,1.09,0,0,1.64,0,0,0,0,0,0.55
