stage,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,4.09,0,4.09,0,4.09,0,0
3Month,0.32,0,0.32,0.32,0.32,0,0.32,0,11.52,0.32
22Month,0.55,0.55,1.09,0,0.55,1.09,0,0,3.28,0
