stage,Cardiomyocyte,Epithelial_cell,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,4.28,0,0,0,0,0,0,1.07,0,0
21Day,0,1.34,0,0,0,0,1.34,0,0,0,0,0,0,0,0,1.34
3Month,0,0.32,0,7.68,0,0.32,0.32,0.32,0.32,0,0.32,0.32,0,0,0.32,0
22Month,0,0.55,0,1.09,0.55,0,0,0,0,0,0,0,0.55,0,0,0
