stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,81.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,1.07,58.84,0,0,0,0,0,0,4.28,1.07,0,0,2.14,0,0,1.07,3.21,8.56,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,1.34,1.34,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,1.34,1.34
3Month,0.96,5.12,0,0.32,54.71,0.96,0,16,1.28,0,2.24,6.72,0.96,0.96,0.96,0.64,0,0,0,0.32,0,0,0,0,0.64,2.56,0,0,0,0.96
22Month,3.28,131.74,1.09,0,36.63,1.64,1.09,84.73,0.55,0.55,5.47,10.39,0.55,1.09,1.09,0,4.37,0.55,0.55,0,0,0.55,0.55,0,0.55,4.37,0.55,0.55,0,0.55
