stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,4.09,0,20.43,8.17,53.12,0,0,0,0
72hpf,0,0,1.07,0,0,2.14,2.14,2.14,0,0,0
21Day,1.34,1.34,4.02,1.34,4.02,4.02,5.35,1.34,1.34,1.34,1.34
