stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0,2.14,1.07,0,0,0,3.21,0,0,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,1.34,1.34,0,0,0,1.34,0,6.69,1.34,0,0,2.68,0
3Month,0.96,1.28,2.24,20.48,0,0.64,4.16,2.24,0,104.3,9.6,0.64,16.96,2.24,11.2,5.44,5.76,0.64,0.32,1.92,5.12,4.16,0.64,3.52,2.88,0,0,14.08,1769.64,3.2,0.32,5.44,925.93,4.16
22Month,0,0.55,0.55,3.28,0.55,1.09,1.64,2.73,1.64,482.7,0.55,0,6.01,0,0.55,2.19,1.64,0,11.48,0.55,0.55,0,0,1.09,0.55,0.55,0,0,89.65,1.09,2.19,0,1.09,1.09
