stage,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,T_cell
21Day,0,0,6.69,0,0
3Month,0,0,0,0.32,0.32
22Month,0.55,0.55,0,0,1.09
