stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,20.43,4.09,0
72hpf,0,1.07,0,0,0,1.07,0,1.07,1.07,7.49,8.56,0,0
21Day,0,1.34,0,0,1.34,0,0,0,0,4.02,2.68,0,0
3Month,0.32,0,0,0.32,0,0,0.32,0.32,0,0,0,0,0.64
22Month,0,0,0.55,1.09,0,0,0,0,0,0,0,0,0
