stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,2.68,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.64,0.64,8.32,0.32,0.32,0.64,0,4.16,0.64,2.56,0,40.31,0.32,1.6,0.32,0,0.32,0.64,0.32,0.64,0.96,0.32,2.24,1.28
22Month,0,0,0.55,0,0,0.55,0.55,4.92,0,0.55,0.55,2.73,0.55,0.55,0,0.55,0.55,0,0,0,0,0,0,0
